column_id,column_name,column_type,section,join_target
tank_height_unit,Tank height (raw unit),enum,,
tank_length_unit_m,Tank length (m),number,,
tank_length_unit_ft,Tank length (ft),number,,
tank_length_unit_in,Tank length (in),number,,
tank_length_unit_cm,Tank length (cm),number,,
tank_length_magnitude,Tank length (raw magnitude),number,,
tank_length_unit,Tank length (raw unit),enum,,
tank_width_unit_m,Tank width (m),number,,
tank_width_unit_ft,Tank width (ft),number,,
tank_width_unit_cm,Tank width (cm),number,,
tank_width_unit_in,Tank width (in),number,,
tank_width_magnitude,Tank width (raw magnitude),number,,
tank_width_unit,Tank width (raw unit),enum,,
tank_bottom_height_unit_m,Height of tank bottom (m),number,,
tank_bottom_height_unit_ft,Height of tank bottom (ft),number,,
tank_bottom_height_unit_cm,Height of tank bottom (cm),number,,
tank_bottom_height_unit_in,Height of tank bottom (in),number,,
tank_bottom_height_magnitude,Height of tank bottom (raw magnitude),number,,
tank_bottom_height_unit,Height of tank bottom (raw unit),enum,,
tank_min_level_unit_m,Minimum operating level (m),number,,
tank_min_level_unit_ft,Minimum operating level (ft),number,,
tank_min_level_unit_cm,Minimum operating level (cm),number,,
tank_min_level_unit_in,Minimum operating level (in),number,,
tank_min_level_magnitude,Minimum operating level (raw magnitude),number,,
tank_min_level_unit,Minimum operating level (raw unit),enum,,
tank_max_level_unit_m,Maximum operating level (m),number,,
tank_max_level_unit_ft,Maximum operating level (ft),number,,
tank_max_level_unit_cm,Maximum operating level (cm),number,,
tank_max_level_unit_in,Maximum operating level (in),number,,
tank_max_level_magnitude,Maximum operating level (raw magnitude),number,,
tank_max_level_unit,Maximum operating level (raw unit),enum,,
fill_level_indicator_installed,Level indicator installed,boolean,,
treatment_type,Treatment type,enum,,
treatment_level,Treatment level,enum,,
design_capacity_unit_m3_s,Design capacity of the unit (m³/s),number,,
design_capacity_unit_l_s,Design capacity of the unit (L/s),number,,
design_capacity_unit_gal_m,Design capacity of the unit (gal/min (gpm)),number,,
design_capacity_unit_m3_h,Design capacity of the unit (m³/h),number,,
design_capacity_unit_l_m,Design capacity of the unit (L/min),number,,
design_capacity_magnitude,Design capacity of the unit (raw magnitude),number,,
design_capacity_unit,Design capacity of the unit (raw unit),enum,,
design_organic_load_capacity_unit_kg_day,Design organic load capacity of the unit (kg/d),number,,
design_organic_load_capacity_unit_lb_day,Design organic load capacity of the unit (lb/d),number,,
design_organic_load_capacity_magnitude,Design organic load capacity of the unit (raw magnitude),number,,
design_organic_load_capacity_unit,Design organic load capacity of the unit (raw unit),enum,,
surface_area_unit_m2,Surface area (m²),number,,
surface_area_unit_ha,Surface area (ha),number,,
surface_area_unit_ft2,Surface area (ft²),number,,
surface_area_unit_acre,Surface area (acre),number,,
surface_area_magnitude,Surface area (raw magnitude),number,,
surface_area_unit,Surface area (raw unit),enum,,
treatment_depth_unit_m,Depth (m),number,,
treatment_depth_unit_ft,Depth (ft),number,,
treatment_depth_magnitude,Depth (raw magnitude),number,,
treatment_depth_unit,Depth (raw unit),enum,,
liner_type,Liner,enum,,
primary_chemical_used,Primary chemical used,enum,,
dispersal_type,Dispersal type,enum,,
outfall_type,Outfall type,enum,,
receiving_water_name,Receiving water name,text,,
screen_installed,Screen or control installed,boolean,,
receiving_water_type,Receiving environment type,enum,,
other_vertical_type,Other vertical asset type,text,,
pipe_type,Pipe type,enum,,
nominal_pressure_unit_pa,Nominal pressure (Pa),number,,
nominal_pressure_unit_kpa,Nominal pressure (kPa),number,,
nominal_pressure_unit_psi,Nominal pressure (psi),number,,
nominal_pressure_unit_ft_water,Nominal pressure (ft H₂O),number,,
nominal_pressure_unit_in_water,Nominal pressure (in H₂O),number,,
nominal_pressure_unit_cm_water,Nominal pressure (cm H₂O),number,,
nominal_pressure_unit_m_water,Nominal pressure (m H₂O),number,,
nominal_pressure_unit_bar,Nominal pressure (bar),number,,
nominal_pressure_magnitude,Nominal pressure (raw magnitude),number,,
nominal_pressure_unit,Nominal pressure (raw unit),enum,,
pipe_depth_below_ground_unit_m,Pipe depth below ground (m),number,,
pipe_depth_below_ground_unit_cm,Pipe depth below ground (cm),number,,
pipe_depth_below_ground_unit_in,Pipe depth below ground (in),number,,
pipe_depth_below_ground_unit_ft,Pipe depth below ground (ft),number,,
pipe_depth_below_ground_magnitude,Pipe depth below ground (raw magnitude),number,,
pipe_depth_below_ground_unit,Pipe depth below ground (raw unit),enum,,
upstream_invert_level_unit_m,Upstream invert level (m),number,,
upstream_invert_level_unit_ft,Upstream invert level (ft),number,,
upstream_invert_level_magnitude,Upstream invert level (raw magnitude),number,,
upstream_invert_level_unit,Upstream invert level (raw unit),enum,,
downstream_invert_level_unit_m,Downstream invert level (m),number,,
downstream_invert_level_unit_ft,Downstream invert level (ft),number,,
downstream_invert_level_magnitude,Downstream invert level (raw magnitude),number,,
downstream_invert_level_unit,Downstream invert level (raw unit),enum,,
cross_section_shape,Cross-section shape,enum,,
gradient,Gradient,number,,
channel_cross_section_shape,Channel cross-section shape,enum,,
lined,Lined,boolean,,
covered_or_open,Covered or open,enum,,
channel_depth_unit_m,Channel depth (m),number,,
channel_depth_unit_cm,Channel depth (cm),number,,
channel_depth_unit_in,Channel depth (in),number,,
channel_depth_unit_ft,Channel depth (ft),number,,
channel_depth_magnitude,Channel depth (raw magnitude),number,,
channel_depth_unit,Channel depth (raw unit),enum,,
channel_top_width_unit_m,Channel top width (m),number,,
channel_top_width_unit_cm,Channel top width (cm),number,,
channel_top_width_unit_in,Channel top width (in),number,,
channel_top_width_unit_ft,Channel top width (ft),number,,
channel_top_width_magnitude,Channel top width (raw magnitude),number,,
channel_top_width_unit,Channel top width (raw unit),enum,,
channel_gradient,Gradient,number,,
_managed_by,Managed By,id,,subjects
_created_by,Added by user,id,,users
_created_on,Date added,datetime,,
_modified_by,Last modified by user,id,,users
_modified_on,Date last modified,datetime,,
_private,Site Private,boolean,,
_merged_entities,Previous mWater IDs,text[],,
_pending_approvals,Pending Approvals,boolean,,
!datasets,Datasets,join,,datasets
!entities.sanitation_asset.parent,Sanitation assets,join,,entities.sanitation_asset
!entities.sanitation_asset.upstream_asset,Sanitation assets,join,,entities.sanitation_asset
!entities.sanitation_asset.downstream_asset,Sanitation assets,join,,entities.sanitation_asset
