column_id,enum_id,enum_name
tank_length_unit,ft,feet
tank_length_unit,in,inches
tank_length_unit,cm,centimeters
tank_width_unit,m,meters
tank_width_unit,ft,feet
tank_width_unit,cm,centimeters
tank_width_unit,in,inches
tank_bottom_height_unit,m,meters
tank_bottom_height_unit,ft,feet
tank_bottom_height_unit,cm,centimeters
tank_bottom_height_unit,in,inches
tank_min_level_unit,m,meters
tank_min_level_unit,ft,feet
tank_min_level_unit,cm,centimeters
tank_min_level_unit,in,inches
tank_max_level_unit,m,meters
tank_max_level_unit,ft,feet
tank_max_level_unit,cm,centimeters
tank_max_level_unit,in,inches
treatment_type,screen,Screen
treatment_type,grit_removal,Grit removal
treatment_type,grease_removal,Grease or FOG removal
treatment_type,sedimentation_or_settler,Sedimentation or settler
treatment_type,imhoff_tank,Imhoff tank
treatment_type,anaerobic_baffled_reactor,Anaerobic baffled reactor (ABR)
treatment_type,anaerobic_filter,Anaerobic filter
treatment_type,upflow_anaerobic_sludge_blanket,Upflow anaerobic sludge blanket (UASB)
treatment_type,waste_stabilization_pond,Waste stabilization pond
treatment_type,aerated_lagoon_or_pond,Aerated lagoon or pond
treatment_type,free_water_surface_wetland,Free-water surface constructed wetland
treatment_type,horizontal_subsurface_flow_wetland,Horizontal subsurface flow constructed wetland
treatment_type,vertical_flow_wetland,Vertical flow constructed wetland
treatment_type,trickling_filter,Trickling filter
treatment_type,rotating_biological_contactor,Rotating biological contactor (RBC)
treatment_type,aeration_basin,Aeration basin
treatment_type,sequencing_batch_reactor,Sequencing batch reactor (SBR)
treatment_type,membrane_bioreactor,Membrane bioreactor (MBR)
treatment_type,moving_bed_biofilm_reactor,Moving bed biofilm reactor (MBBR)
treatment_type,coagulation_or_flocculation,Coagulation or flocculation
treatment_type,filtration,Filtration
treatment_type,chlorine_contact_tank,Chlorine contact tank
treatment_type,uv_or_ozone_disinfection_unit,UV or ozone disinfection unit
treatment_type,chemical_dosing_system,Chemical dosing system
treatment_type,thickener,Thickener
treatment_type,anaerobic_digester,Anaerobic digester
treatment_type,unplanted_drying_bed,Unplanted drying bed
treatment_type,planted_drying_bed,Planted drying bed
treatment_type,dewatering_unit,Dewatering unit
treatment_type,composting_pad_or_windrow,Composting pad or windrow
treatment_type,lime_stabilization,Lime stabilization
treatment_type,incineration_or_thermal_treatment,Incineration or thermal treatment
treatment_type,aerobic_digester,Aerobic digester
treatment_type,odor_control,Odor control (gas treatment)
treatment_type,other,Other
treatment_level,preliminary,Preliminary
treatment_level,primary,Primary
treatment_level,secondary,Secondary
treatment_level,tertiary,Tertiary
treatment_level,quaternary,Quaternary
treatment_level,other,Other
