column_id,enum_id,enum_name
meter_min_flow_rate_unit,m3_h,cubic meters per hour
meter_min_flow_rate_unit,l_m,liters per minute
meter_measurement_type,total,Total volume
meter_measurement_type,flow_rate,Flow rate
meter_measurement_type,combined,Combined
flow_meter_display_units,l_s,L/s
flow_meter_display_units,l_min,L/min
flow_meter_display_units,l_d,L/d
flow_meter_display_units,m3_s,m3/s
flow_meter_display_units,m3_min,m3/min
flow_meter_display_units,m3_hr,m3/hr
flow_meter_display_units,m3_d,m3/d
flow_meter_display_units,gal_s,gal/s
flow_meter_display_units,gal_m,gal/min
flow_meter_display_units,gal_hr,gal/hr
flow_meter_display_units,gal_d,gal/d
volumetric_meter_display_units,l,L
volumetric_meter_display_units,gal,gal
volumetric_meter_display_units,m3,m3
volumetric_meter_display_units,ft3,ft3
volumetric_meter_display_units,acre_ft,acre-ft
electrical_type,motor,Motor
electrical_type,actuator,Actuator
electrical_type,power_device,Power device
electrical_type,electronic,Electronic
electrical_type,heater,Heater
electrical_type,blower,Blower
electrical_type,protection_control,Protection and control
electrical_type,other,Other
electrical_power_device_type,control_panel,Controls panel
electrical_power_device_type,circuit_breaker,Circuit breaker
electrical_power_device_type,ups,Uninterruptible power supply (UPS)
electrical_power_device_type,transformer,Transformer
electrical_power_device_type,power_conditioner,Power conditioner
electrical_power_device_type,switch,Switch
electrical_power_device_type,motor_controller,Motor controller
electrical_power_device_type,inverter,Inverter
protection_control_type,dc_combiner,DC combiner box
protection_control_type,control_panel,Control panel
protection_control_type,grounding_system,Grounding system
protection_control_type,lightning_protection,Lightning protection system
protection_control_type,ocpd,Overcurrent protection device (OCPD)
protection_control_type,disconnect_ac,Disconnect Switch (AC)
protection_control_type,disconnect_dc,Disconnect switch (DC)
protection_control_type,surge_protection,Surge protection
protection_control_type,ac_protection,AC protections box
protection_control_type,dry_run_sensor,Dry run sensor
protection_control_type,other,Other
valve_type,shutoff,Shutoff
valve_type,check,Check
valve_type,backflow_preventer,Backflow preventer
valve_type,washout,Washout
valve_type,flow_control,Flow control
valve_type,pressure_reducing,Pressure reducing
valve_type,throttle_control,Throttle control
valve_type,air_relief,Air relief
valve_type,other,Other
valve_type,pressure_sustaining,Pressure sustaining
hydrant_type,wet_barrel,Wet barrel
hydrant_type,dry_barrel,Dry barrel
hydrant_type,standpipe,Standpipe
junction_type,union,Union
junction_type,elbow,Elbow
junction_type,tee,Tee
junction_type,sleeve,Sleeve
junction_type,cap,Cap
junction_type,reducer,Reducer
junction_type,cross,Cross
junction_type,outside_threaded_adapter,Outside threaded adapter
junction_type,inside_threaded_adapter,Inside threaded adapter
junction_type,other,Other
sampling_point_type,faucet,Faucet
sampling_point_type,sampling_station,Sampling station
sampling_point_type,sampling_port,Sampling port
sampling_point_type,other,Other
sensor_type,pressure,Pressure
sensor_type,level,Level
sensor_type,moisture,Moisture
sensor_type,current,Current
sensor_type,voltage,Voltage
sensor_type,position,Position
sensor_type,ph,pH
sensor_type,orp,ORP
sensor_type,do,DO
sensor_type,turbidity,Turbidity
sensor_type,ec,EC
sensor_type,free_chlorine,Free chlorine
sensor_type,total_chlorine,Total chlorine
sensor_type,nitrate,Nitrate
sensor_type,multiparameter,Multiparameter
sensor_type,other,Other
structure_type,building,Building
structure_type,perimeter,Perimeter
structure_type,road,Road
structure_type,apron,Apron
structure_type,utility_vault,Utility vault
structure_type,tank_base,Tank base
structure_type,solar_rack,Solar rack
structure_type,pump_house,Pump house
structure_type,cabinet,Cabinet
structure_type,well_head,Well head
structure_type,other,Other
perimeter_type,fence,Fence
perimeter_type,wall,Wall
perimeter_type,other,Other
perimeter_total_length_unit,m,meters
perimeter_total_length_unit,ft,feet
perimeter_total_length_unit,km,kilometers
perimeter_total_length_unit,yd,yards
perimeter_total_length_unit,mi,miles
perimeter_height_unit,m,meters
perimeter_height_unit,km,kilometers
perimeter_height_unit,ft,feet
perimeter_height_unit,yd,yards
perimeter_height_unit,mi,miles
perimeter_setback_distance_unit,m,meters
perimeter_setback_distance_unit,km,kilometers
perimeter_setback_distance_unit,ft,feet
perimeter_setback_distance_unit,yd,yards
perimeter_setback_distance_unit,mi,miles
ht_type_perimetre,immediate,Immediate
ht_type_perimetre,rapproche,Near
ht_type_perimetre,eloinee,Far
perimeter_material,block,Block
perimeter_material,barbed_wire,Barbed wire
perimeter_material,chain_link,Chain link
perimeter_material,concrete,Concrete
perimeter_material,wood,Wood
perimeter_material,other,Other
ht_protection_type,manhole,Manhole
ht_protection_type,box_key,Box and key
ht_protection_type,none,Unprotected
ht_protection_length_unit,m,meters
ht_protection_length_unit,cm,centimeters
ht_protection_length_unit,ft,foot
