attribute_code,attribute_name,asset_type,standard_data_type,mwater_table,mwater_column_id,mwater_column_name,mwater_column_type,match_method,candidate_count
30424,PV panel type,Power,Choice,entities.sanitation_asset,pv_panel_type,PV panel type,enum,exact_name,1
30425,Total number of PV panels,Power,Number,entities.sanitation_asset,number_pv_panels,Total number of PV panels,number,exact_name,1
30701,Electrical type,Electrical,Choice,entities.sanitation_asset,electrical_type,Electrical type,enum,exact_name,1
30702,Electrical power device type,Electrical,Choice,entities.sanitation_asset,electrical_power_device_type,Electrical power device type,enum,exact_name,1
30601,Meter ID,Meter,Text,entities.sanitation_asset,meter_id,Meter ID,text,exact_name,1
30602,Meter type,Meter,Choice,entities.sanitation_asset,meter_type,Meter type,enum,exact_name,1
30603,Meter design,Meter,Choice,entities.sanitation_asset,meter_design,Meter design,enum,exact_name,1
30604,Minimum measurable flow rate,Meter,Unit,entities.sanitation_asset,meter_min_flow_rate_magnitude,Minimum measurable flow rate (raw magnitude),number,unit_family,1
30605,Meter measurement type,Meter,Choice,entities.sanitation_asset,meter_measurement_type,Meter measurement type,enum,exact_name,1
31101,Sampling point type,Sampling point,Choice,entities.sanitation_asset,sampling_point_type,Sampling point type,enum,exact_name,1
31102,Regulatory compliance point,Sampling point,Checkbox,entities.sanitation_asset,regulatory_compliance_point,Regulatory compliance point,boolean,exact_name,1
31103,Autosampler installed,Sampling point,Checkbox,entities.sanitation_asset,autosampler_installed,Autosampler installed,boolean,exact_name,1
31201,Sensor type,Sensor,Choice,entities.sanitation_asset,sensor_type,Sensor type,enum,exact_name,1
31202,Gas measured,Sensor,Choice,entities.sanitation_asset,gas_measured,Gas measured,enum,exact_name,1
31203,Gases measured,Sensor,Text,entities.sanitation_asset,gases_measured,Gases measured,text,exact_name,1
31301,Analyzer type,Analyzer,Choice,entities.sanitation_asset,analyzer_type,Analyzer type,enum,exact_name,1
31302,Parameters measured,Analyzer,Text,entities.sanitation_asset,parameters_measured,Parameters measured,text,exact_name,1
32301,Transmission method,Datalogger,Choice,entities.sanitation_asset,transmission_method,Transmission method,enum,exact_name,1
30201,Pump type,Pump,Choice,entities.sanitation_asset,pump_type,Pump type,enum,exact_name,1
30202,Pump diameter,Pump,Unit,entities.sanitation_asset,pump_diameter_magnitude,Pump diameter (raw magnitude),number,unit_family,1
30203,Pump power rating,Pump,Unit,entities.sanitation_asset,pump_power_rating_magnitude,Pump power rating (raw magnitude),number,unit_family,1
30204,Pump motor configuration,Pump,Choice,entities.sanitation_asset,pump_motor_configuration,Pump motor configuration,enum,exact_name,1
30205,Pump motor voltage type,Pump,Choice,entities.sanitation_asset,pump_motor_voltage_type,Pump motor voltage type,enum,exact_name,1
30206,Pump motor voltage,Pump,Unit,entities.sanitation_asset,pump_motor_voltage_magnitude,Pump motor voltage (raw magnitude),number,unit_family,1
30207,Pump motor max current,Pump,Unit,entities.sanitation_asset,pump_motor_max_current_magnitude,Pump motor max current (raw magnitude),number,unit_family,1
30208,Pump motor max power,Pump,Unit,entities.sanitation_asset,pump_motor_max_power_magnitude,Pump motor max power (raw magnitude),number,unit_family,1
30221,Design flow,Pump,Unit,entities.sanitation_asset,design_flow_magnitude,Design flow (raw magnitude),number,unit_family,1
30222,Design head,Pump,Unit,entities.sanitation_asset,design_head_magnitude,Design head (raw magnitude),number,unit_family,1
30223,Maximum flow (Q-max),Pump,Unit,entities.sanitation_asset,pump_maximum_flow_magnitude,Maximum flow (Q-max) (raw magnitude),number,unit_family,1
30224,Head at maximum flow (H-min),Pump,Unit,entities.sanitation_asset,pump_h_min_magnitude,Head at maximum flow (H-min) (raw magnitude),number,unit_family,1
30225,Minimum flow (Q-min),Pump,Unit,entities.sanitation_asset,pump_q_min_magnitude,Minimum flow (Q-min) (raw magnitude),number,unit_family,1
30226,Head at minimum flow (H-max),Pump,Unit,entities.sanitation_asset,pump_h_max_magnitude,Head at minimum flow (H-max) (raw magnitude),number,unit_family,1
30227,NPSH-R,Pump,Unit,entities.sanitation_asset,pump_npsh_r_magnitude,NPSH-R (raw magnitude),number,unit_family,1
30301,Tank type,Tank,Choice,entities.sanitation_asset,tank_type,Tank type,enum,exact_name,1
30302,Tank material,Tank,Choice,entities.sanitation_asset,tank_material,Tank material,enum,exact_name,1
30303,Tank volume,Tank,Unit,entities.sanitation_asset,tank_volume_magnitude,Tank volume (raw magnitude),number,unit_family,1
30304,Tank shape,Tank,Choice,entities.sanitation_asset,tank_shape,Tank shape,enum,exact_name,1
30311,Tank diameter,Tank,Unit,entities.sanitation_asset,tank_diameter_magnitude,Tank diameter (raw magnitude),number,unit_family,1
30312,Tank height,Tank,Unit,entities.sanitation_asset,tank_height_magnitude,Tank height (raw magnitude),number,unit_family,1
30313,Tank length,Tank,Unit,entities.sanitation_asset,tank_length_magnitude,Tank length (raw magnitude),number,unit_family,1
30314,Tank width,Tank,Unit,entities.sanitation_asset,tank_width_magnitude,Tank width (raw magnitude),number,unit_family,1
30315,Height of tank bottom,Tank,Unit,entities.sanitation_asset,tank_bottom_height_magnitude,Height of tank bottom (raw magnitude),number,unit_family,1
30316,Minimum operating level,Tank,Unit,entities.sanitation_asset,tank_min_level_magnitude,Minimum operating level (raw magnitude),number,unit_family,1
30317,Maximum operating level,Tank,Unit,entities.sanitation_asset,tank_max_level_magnitude,Maximum operating level (raw magnitude),number,unit_family,1
30323,Level indicator installed,Tank,Checkbox,entities.sanitation_asset,fill_level_indicator_installed,Level indicator installed,boolean,exact_name,1
30501,Treatment type,Treatment,Choice,entities.sanitation_asset,treatment_type,Treatment type,enum,exact_name,1
30502,Treatment level,Treatment,Choice,entities.sanitation_asset,treatment_level,Treatment level,enum,exact_name,1
30503,Design capacity of the unit,Treatment,Unit,entities.sanitation_asset,design_capacity_magnitude,Design capacity of the unit (raw magnitude),number,unit_family,1
30504,Design organic load capacity of the unit,Treatment,Unit,entities.sanitation_asset,design_organic_load_capacity_magnitude,Design organic load capacity of the unit (raw magnitude),number,unit_family,1
30505,Surface area,Treatment,Unit,entities.sanitation_asset,surface_area_magnitude,Surface area (raw magnitude),number,unit_family,1
30506,Depth,Treatment,Unit,entities.sanitation_asset,treatment_depth_magnitude,Depth (raw magnitude),number,unit_family,1
30507,Liner,Treatment,Choice,entities.sanitation_asset,liner_type,Liner,enum,exact_name,1
30521,Primary chemical used,Treatment,Choice,entities.sanitation_asset,primary_chemical_used,Primary chemical used,enum,exact_name,1
31901,Dispersal type,Dispersal,Choice,entities.sanitation_asset,dispersal_type,Dispersal type,enum,exact_name,1
32001,Outfall type,Outfall,Choice,entities.sanitation_asset,outfall_type,Outfall type,enum,exact_name,1
32002,Receiving water name,Outfall,Text,entities.sanitation_asset,receiving_water_name,Receiving water name,text,exact_name,1
32003,Screen or control installed,Outfall,Checkbox,entities.sanitation_asset,screen_installed,Screen or control installed,boolean,exact_name,1
32004,Receiving environment type,Outfall,Choice,entities.sanitation_asset,receiving_water_type,Receiving environment type,enum,exact_name,1
39901,Other vertical asset type,Other vertical,Text,entities.sanitation_asset,other_vertical_type,Other vertical asset type,text,exact_name,1
40101,Pipe type,Pipe,Choice,entities.sanitation_asset,pipe_type,Pipe type,enum,exact_name,1
40103,Nominal pressure,Pipe,Unit,entities.sanitation_asset,nominal_pressure_magnitude,Nominal pressure (raw magnitude),number,unit_family,1
40104,Pipe depth below ground,Pipe,Unit,entities.sanitation_asset,pipe_depth_below_ground_magnitude,Pipe depth below ground (raw magnitude),number,unit_family,1
40105,Upstream invert level,Pipe,Unit,entities.sanitation_asset,upstream_invert_level_magnitude,Upstream invert level (raw magnitude),number,unit_family,1
40106,Downstream invert level,Pipe,Unit,entities.sanitation_asset,downstream_invert_level_magnitude,Downstream invert level (raw magnitude),number,unit_family,1
40107,Cross-section shape,Pipe,Choice,entities.sanitation_asset,cross_section_shape,Cross-section shape,enum,exact_name,1
40108,Gradient,Pipe,Number,entities.sanitation_asset,gradient,Gradient,number,exact_name_ambiguous,2
40201,Channel cross-section shape,Channel,Choice,entities.sanitation_asset,channel_cross_section_shape,Channel cross-section shape,enum,exact_name,1
40202,Lined,Channel,Checkbox,entities.sanitation_asset,lined,Lined,boolean,exact_name,1
40203,Covered or open,Channel,Choice,entities.sanitation_asset,covered_or_open,Covered or open,enum,exact_name,1
40204,Channel depth,Channel,Unit,entities.sanitation_asset,channel_depth_magnitude,Channel depth (raw magnitude),number,unit_family,1
40205,Channel top width,Channel,Unit,entities.sanitation_asset,channel_top_width_magnitude,Channel top width (raw magnitude),number,unit_family,1
40206,Gradient,Channel,Number,entities.sanitation_asset,gradient,Gradient,number,exact_name_ambiguous,2
